(0, 20, 10, 'v')
(0, 30, 0, 'v')
(0, 31, 10, 'v')
(0, 34, 8, 'v')
(0, 36, 5, 'v')
(0, 39, 4, 'v')
(0, 40, 4, 'v')
(0, 41, 6, 'v')
(0, 46, 70, 'v')
(0, 48, 15, 'v')
(0, 49, 31, 'v')
(0, 50, 31, 'v')
(1, 38, 13, 'v')
(2, 3, 2, 'v')
(2, 4, 0, 'v')
(2, 5, 2, 'v')
(2, 6, 4, 'v')
(2, 9, 7, 'h')
(2, 11, 3, 'v')
(3, 4, 2, 'v')
(3, 5, 0, 'v')
(3, 6, 6, 'v')
(3, 11, 1, 'v')
(3, 12, 3, 'h')
(4, 5, 2, 'v')
(4, 6, 4, 'v')
(4, 9, 7, 'h')
(4, 11, 3, 'v')
(5, 6, 6, 'v')
(5, 11, 1, 'v')
(5, 12, 3, 'h')
(6, 9, 3, 'v')
(6, 13, 5, 'h')
(7, 8, 12, 'v')
(7, 16, 5, 'v')
(7, 17, 13, 'v')
(7, 27, 8, 'v')
(7, 33, 11, 'v')
(7, 37, 14, 'v')
(7, 42, 16, 'v')
(7, 43, 35, 'v')
(7, 46, 44, 'v')
(7, 51, 22, 'v')
(8, 16, 17, 'v')
(8, 17, 5, 'v')
(8, 18, 12, 'v')
(9, 13, 2, 'v')
(9, 23, 2, 'v')
(10, 15, 3, 'v')
(11, 12, 2, 'v')
(11, 21, 4, 'v')
(12, 21, 2, 'v')
(12, 22, 4, 'h')
(13, 23, 2, 'v')
(13, 24, 1, 'v')
(13, 25, 3, 'h')
(14, 24, 1, 'v')
(14, 25, 3, 'v')
(14, 26, 6, 'v')
(14, 29, 9, 'v')
(14, 32, 11, 'v')
(14, 35, 13, 'v')
(16, 17, 12, 'v')
(16, 27, 3, 'v')
(16, 33, 6, 'v')
(16, 37, 9, 'v')
(16, 42, 11, 'v')
(16, 43, 34, 'v')
(16, 46, 43, 'v')
(16, 51, 17, 'v')
(17, 18, 7, 'v')
(17, 27, 15, 'v')
(17, 33, 18, 'v')
(17, 37, 21, 'v')
(17, 42, 23, 'v')
(17, 43, 22, 'v')
(17, 46, 31, 'v')
(17, 51, 29, 'v')
(18, 27, 22, 'v')
(18, 33, 25, 'v')
(18, 37, 28, 'v')
(18, 42, 30, 'v')
(18, 43, 15, 'v')
(18, 46, 24, 'v')
(18, 51, 36, 'v')
(19, 38, 10, 'v')
(20, 28, 2, 'v')
(20, 30, 10, 'h')
(20, 31, 2, 'v')
(20, 34, 2, 'v')
(20, 36, 5, 'h')
(20, 40, 8, 'h')
(21, 22, 2, 'v')
(21, 28, 4, 'v')
(22, 28, 2, 'v')
(24, 25, 2, 'v')
(25, 26, 3, 'v')
(25, 29, 6, 'v')
(25, 32, 8, 'v')
(25, 35, 10, 'v')
(26, 29, 3, 'v')
(26, 32, 5, 'v')
(26, 35, 7, 'v')
(27, 33, 3, 'v')
(27, 37, 6, 'v')
(27, 42, 8, 'v')
(27, 43, 33, 'v')
(27, 46, 42, 'v')
(27, 51, 14, 'v')
(28, 31, 2, 'v')
(28, 34, 4, 'h')
(29, 32, 2, 'v')
(29, 35, 4, 'v')
(30, 31, 10, 'v')
(30, 34, 8, 'v')
(30, 36, 5, 'v')
(30, 39, 4, 'v')
(30, 40, 4, 'v')
(30, 41, 6, 'v')
(30, 46, 70, 'v')
(30, 48, 15, 'v')
(30, 49, 31, 'v')
(30, 50, 31, 'v')
(31, 34, 2, 'v')
(31, 36, 5, 'h')
(31, 40, 8, 'h')
(32, 35, 2, 'v')
(33, 37, 3, 'v')
(33, 42, 5, 'v')
(33, 43, 32, 'v')
(33, 46, 41, 'v')
(33, 51, 11, 'v')
(34, 36, 3, 'v')
(34, 40, 6, 'h')
(36, 40, 3, 'v')
(37, 42, 2, 'v')
(37, 43, 31, 'v')
(37, 46, 40, 'v')
(37, 51, 8, 'v')
(39, 40, 6, 'v')
(39, 41, 4, 'v')
(39, 46, 68, 'v')
(39, 47, 12, 'h')
(39, 48, 11, 'v')
(39, 49, 29, 'v')
(39, 50, 29, 'v')
(40, 41, 2, 'v')
(40, 42, 26, 'v')
(41, 42, 24, 'v')
(41, 46, 64, 'v')
(41, 48, 15, 'v')
(41, 49, 25, 'v')
(41, 50, 25, 'v')
