[(9, 34)
(2, 20)
(0, 44)
(2, 44)
(0, 44)
(2, 44)
(0, 48)
(2, 67)
(0, 77)
(3, 48)
(1, 61)
(2, 43)
(4, 43)
(4, 49)
(4, 51)
(3, 60)
(5, 65)
(5, 77)
(5, 84)
(4, 29)
(6, 41)
(4, 45)
(6, 45)
(4, 47)
(4, 50)
(6, 50)
(7, 48)
(7, 64)
(6, 43)
(8, 46)
(9, 34)
(7, 42)
(9, 45)
(9, 63)
(8, 41)
(10, 44)
(9, 39)
(11, 62)
(10, 25)
(12, 33)
(10, 37)
(12, 37)
(12, 61)
(12, 92)
(12, 95)
(12, 95)
(13, 100)
(17, 26)
(17, 27)
(17, 57)
(17, 57)
(17, 60)
(22, 27)
(23, 53)
(23, 57)
(23, 57)
(23, 79)
(24, 15)
(25, 14)
(26, 12)
(20, 98)]
